image_id,split,density,n_true,n_found,dice,iou,count_error
train_000,train,sparse,10,9,0.9729305610004986,0.9472880061042989,-1
train_001,train,normal,29,26,0.972160455393603,0.9458290065750332,-3
train_002,train,normal,17,15,0.9811038353583141,0.9629085567353548,-2
train_003,train,normal,36,28,0.9803509824501422,0.9614592527199743,-8
train_004,train,dense,85,43,0.9768528990420806,0.9547531319079183,-42
train_005,train,clustered,52,15,0.9800248774412965,0.9608321377317636,-37
train_006,train,sparse,5,5,0.9801324503257167,0.9610389610285601,0
train_007,train,normal,19,17,0.9815894446134066,0.9638445314824832,-2
train_008,train,normal,16,14,0.9812709030083926,0.9632304661819986,-2
train_009,train,normal,21,20,0.9780861943012197,0.9571122230141599,-1
train_010,train,dense,59,33,0.9791955617193485,0.9592391304338516,-26
train_011,train,clustered,35,17,0.9775510204072564,0.9560878243495625,-18
train_012,train,sparse,12,10,0.9881843900798999,0.9766447368388926,-2
train_013,train,normal,31,25,0.9821048901479605,0.9648389904247784,-6
train_014,train,normal,35,29,0.9800086918723887,0.960801022580655,-6
train_015,train,normal,38,32,0.9814114681781809,0.9635013918945817,-6
train_016,train,dense,46,31,0.9800081126493713,0.9607999091001467,-15
train_017,train,clustered,42,16,0.9814691151911673,0.9636125225357095,-26
train_018,train,sparse,7,7,0.978025582154877,0.9569961489027151,0
train_019,train,normal,33,25,0.9841013203979303,0.9687002652502764,-8
train_020,train,normal,22,18,0.9841194595864136,0.9687354176365639,-4
train_021,train,normal,15,15,0.9766044215475926,0.9542785234859301,0
train_022,train,dense,50,30,0.9817301110930439,0.9641158221293028,-20
train_023,train,clustered,53,15,0.9793281653739326,0.9594936708846471,-38
train_024,train,sparse,9,8,0.9798068481095119,0.9604130808894985,-1
train_025,train,normal,22,18,0.9820779546296753,0.9647869982739109,-4
train_026,train,normal,30,23,0.9799257920264675,0.9606416713281839,-7
train_027,train,normal,28,23,0.9823734141675284,0.9653574580737746,-5
train_028,train,dense,51,35,0.9776106840239169,0.9562019758496638,-16
train_029,train,clustered,35,19,0.9762880797355707,0.9536746231140804,-16
train_030,train,sparse,8,8,0.9804141018439272,0.9615806805655238,0
train_031,train,normal,30,25,0.9800694100139017,0.9609177522827904,-5
train_032,train,normal,18,14,0.9733953488353984,0.9481696266728954,-4
train_033,train,normal,29,24,0.9802782819104896,0.9613194114832432,-5
train_034,train,dense,76,35,0.9768131460808958,0.954677185637615,-41
train_035,train,clustered,52,11,0.9784004670162153,0.9577142857129176,-41
train_036,train,sparse,11,11,0.9845708775289669,0.969610636272699,0
train_037,train,normal,27,23,0.9770178749850371,0.9550683742110808,-4
train_038,train,normal,32,26,0.9740881333545353,0.949485199483672,-6
train_039,train,normal,35,28,0.9800300622711473,0.9608421052618094,-7
train_040,train,dense,82,49,0.9753401360540448,0.9518672199162943,-33
train_041,train,clustered,45,24,0.9800302571853403,0.9608424799748431,-21
train_042,train,sparse,8,8,0.9814502529469585,0.9635761589324208,0
train_043,train,normal,25,21,0.9802420606175852,0.9612497463969137,-4
train_044,train,normal,16,16,0.9731159100911222,0.9476394849758294,0
train_045,train,normal,21,17,0.9801062646719633,0.9609886115799346,-4
train_046,train,dense,84,41,0.9798347358043439,0.9604666716200041,-43
train_047,train,clustered,53,13,0.97962923803413,0.96007184304924,-40
train_048,train,sparse,9,9,0.9859514687069414,0.9722921914296456,0
train_049,train,normal,39,22,0.9775261324033296,0.9560402112779758,-17
train_050,train,normal,23,21,0.9821852731576868,0.9649941656914673,-2
train_051,train,normal,30,26,0.9815654859560066,0.9637983320679231,-4
train_052,train,dense,53,37,0.9823593633275973,0.9653303218509708,-16
train_053,train,clustered,37,20,0.9735234215876033,0.9484126984108167,-17
train_054,train,sparse,7,7,0.9840865690611582,0.9686716791919256,0
train_055,train,normal,16,11,0.9765684051379884,0.9542097488886477,-5
train_056,train,normal,19,18,0.9780487804863139,0.9570405727895077,-1
train_057,train,normal,27,22,0.9818356790557177,0.9643194706971543,-5
train_058,train,dense,55,31,0.9732152739341597,0.9478279616245037,-24
train_059,train,clustered,45,20,0.9821296220036382,0.9648867313900245,-25
train_060,train,sparse,7,7,0.9891196834768096,0.9784735812037332,0
train_061,train,normal,20,20,0.9779005524845988,0.9567567567537146,0
train_062,train,normal,27,22,0.9752148710763788,0.9516286327268352,-5
train_063,train,normal,33,26,0.9810954063595573,0.9628923183614307,-7
